PlanTable,ItemID,OptionPhase,PackID,Description,OnlineDescription,Qty,UOM,SellEach,CostEach,ExtPrice,ExtCost,MarginDollar,MarginPercent,Category,PriceLevel,CostUOM,BlendCost,AvgCost
plan_1670ABCD_CR,HZ10814CMSP,167010205 - 4155,|62B 3RD CAR GARAGE SIDING AND TRIM,lap siding,PLK PR CM SEL HZ10 8.25X12,24,MSF,1349.41,9.462749175,267.18,227.1059802,$202.41 ,15.00%,3904,09,1146.9999,,
plan_1670ABCD_CR,2220WWP,167010305 - 4155,|62C 3RD CAR GARAGE SIDING AND TRIM,siding trim,"2""X2""-20' WW PRIMED",1,MBF,1683.72,9.653815333,11.23,9.653815333,$235.72 ,14.00%,2510,09,1447.9999,,
plan_1670ABCD_CR,HZ10814CMSP,167010305 - 4155,|62C 3RD CAR GARAGE SIDING AND TRIM,lap siding,PLK PR CM SEL HZ10 8.25X12,20,MSF,1349.41,9.462749175,222.65,189.2549835,$202.41 ,15.00%,3904,09,1146.9999,,
plan_1670ABCD_CR,HZ1049SMP,167010405 - 4155,|62D 3RD CAR GARAGE SIDING AND TRIM,panel siding,PAN PR SMOOTH 4X9,2,MSF,1471.76,45.036,105.97,90.072,$220.76 ,15.00%,3904,09,1251,,
plan_1670ABCD_CR,HZ10814CMSP,167010405 - 4155,|62D 3RD CAR GARAGE SIDING AND TRIM,lap siding,PLK PR CM SEL HZ10 8.25X12,16,MSF,1349.41,9.462749175,178.12,151.4039868,$202.41 ,15.00%,3904,09,1146.9999,,
plan_1670ABCD_CR,HZU1312RB,167010405 - 4155,|62D 3RD CAR GARAGE SIDING AND TRIM,batts,TRM 4/4 BATT PR RG HZ 2.5X12',2,MSF,4714.12,10.0175,23.57,20.035,$707.12 ,15.00%,3904,09,4007,,
plan_1670ABCD_CR,HZ10410CMP,"167020003 - 4155 , 167020004 - 4155 , 167020006 - 4155 , 167020007 - 4155",|63.1ABCD 10x10 COVERED PATIO SIDING,soffit,PAN PR CDRML 4X10,3,MSF,1362.35,46.320004,163.48,138.960012,$204.35 ,15.00%,3904,09,1158.0001,,
plan_1670ABCD_CR,TX1WHT10,"167020003 - 4155 , 167020004 - 4155 , 167020006 - 4155 , 167020007 - 4155",|63.1ABCD 10x10 COVERED PATIO SIDING,siding sealant,TX1 TEXT POLY SEALANT WHT 10OZ,4,EA,5.66,4.7,22.64,18.8,$0.96 ,16.96%,4203,01,4.7,,
plan_1670ABCD_CR,2220WWP,"167020003 - 4155 , 167020004 - 4155 , 167020007 - 4155",|63.1ABD 10x10 COVERED PATIO SIDING,gable trim,"2""X2""-20' WW PRIMED",1,MBF,1683.72,9.653815333,11.23,9.653815333,$235.72 ,14.00%,2510,09,1447.9999,,
plan_1670ABCD_CR,HZU541012RT,"167020003 - 4155 , 167020004 - 4155 , 167020007 - 4155",|63.1ABD 10x10 COVERED PATIO SIDING,belly band,TRM 5/4 PR RG HZ 9.25X12',1,MSF,5130.59,40.33925,47.46,40.33925,$769.59 ,15.00%,3904,09,4361,,
plan_1670ABCD_CR,EM390073,"167020003 - 4155 , 167020004 - 4155 , 167020007 - 4155",|63.1ABD 10x10 COVERED PATIO SIDING,siding flashing,4X1-1/8X3/8 WHT HIGH BACK FLSH,1,EA,8.47,7.2001,8.47,7.2001,$1.27 ,14.99%,4206,09,7.2001,,
plan_1670ABCD_CR,HZ1012CMSP,"167020003 - 4155 , 167020004 - 4155 , 167020007 - 4155",|63.1ABD 10x10 COVERED PATIO SIDING,beam wrap,PLK PR CM SEL HZ10 12X12',5,MSF,1349.41,13.764,80.96,68.82,$202.41 ,15.00%,3904,09,1147,,
plan_1670ABCD_CR,HZ1012CMSP,167020006 - 4155,|63.1C 10x10 COVERED PATIO SIDING,beam wrap,PLK PR CM SEL HZ10 12X12',6,MSF,1349.41,13.764,97.16,82.584,$202.41 ,15.00%,3904,09,1147,,
plan_1670ABCD_CR,HZU54612RT,"167020003 - 4155 , 167020004 - 4155 , 167020006 - 4155 , 167020007 - 4155",|63.1pwABCD 10x10 COVERED PATIO POST WRAP,post sides,TRM 5/4 PR RG HZ 5.5X12',4,MSF,5130.59,23.98549945,112.87,95.9419978,$769.59 ,15.00%,3904,09,4360.9999,,
plan_1670ABCD_CR,HZU54812RT,"167020003 - 4155 , 167020004 - 4155 , 167020006 - 4155 , 167020007 - 4155",|63.1pwABCD 10x10 COVERED PATIO POST WRAP,post front and rear,TRM 5/4 PR RG HZ 7.25X12',4,MSF,5130.59,31.61725,148.79,126.469,$769.59 ,15.00%,3904,09,4361,,
plan_1890ABD_CR,2616HF3TICAG,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,sill plate,2X6-16' #3 HF TRTD AG ICT,14,MBF,872.94,10.0166384,195.54,140.2329376,$246.90 ,28.28%,3002,09,626.0399,,
plan_1890ABD_CR,24DF,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,bracing,2X4-RL STD&BTR DF,20,MBF,634.83,0.363514867,8.47,7.270297332,$89.83 ,14.15%,2503,09,544.9998,,
plan_1890ABD_CR,4412GDF,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,crawl post,4X4-12' STD&BTR DF GRN,4,MBF,714.29,10.0020304,45.71,40.0081216,$89.16 ,12.48%,2201,09,625.1269,,
plan_1890ABD_CR,4612GDF2,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,crawl post,4X6-12' #2&BTR DF GRN,2,MBF,630.95,13.84194,30.29,27.68388,$54.20 ,8.59%,2201,09,576.7475,,
plan_1890ABD_CR,488GDF2,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,floor beam,4X8-8' #2 DF GRN,1,MBF,815.48,13.75978713,17.4,13.75978713,$170.48 ,20.91%,2201,09,645.0001,,
plan_1890ABD_CR,4810GDF2,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,floor beam,4X8-10' #2 DF GRN,4,MBF,815.48,17.20021767,86.99,68.80087067,$170.48 ,20.91%,2201,09,645.0001,,
plan_1890ABD_CR,4812GDF2,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,floor beam,4X8-12' #2 DF GRN,3,MBF,815.48,20.6399968,78.29,61.9199904,$170.48 ,20.91%,2201,09,644.9999,,
plan_1890ABD_CR,4816GDF2,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,floor beam,4X8-16' #2 DF GRN,14,MBF,815.48,27.52021073,487.12,385.2829503,$170.48 ,20.91%,2201,09,644.9999,,
plan_1890ABD_CR,4820GDF2,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,floor beam,4X8-20' #2 DF GRN,1,MBF,815.48,34.399785,43.49,34.399785,$170.48 ,20.91%,2201,09,645,,
plan_1890ABD_CR,716OSB,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,gusset,"7/16""4X8 OSB RTD",3,MSF,307.95,8.7398496,29.56,26.2195488,$34.83 ,11.31%,3506,08,273.1203,,
plan_1890ABD_CR,A34,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,crawl post,SIMPSON A34 FRAMNG ANCHOR,34,EA,0.49,0.3799,16.66,12.9166,$0.11 ,22.47%,4502,05,0.3799,,
plan_1890ABD_CR,BP5/8-3HDG,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,bearing plate,"5/8"" 3X3 BEARING PLATE HDG",90,EA,0.67,0.5199,60.3,46.791,$0.15 ,22.40%,4502,05,0.5199,,
plan_1890ABD_CR,HU46,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,crawl access hanger,FACE MOUNT DBL HANGER 9MLAM,4,EA,9.68,7.55,38.72,30.2,$2.13 ,22.00%,4502,05,7.55,,
plan_1890ABD_CR,SS550,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,sill sealer,"SILL SEALER 5.5"" X 50'",4,EA,7.99,4.91,31.96,19.64,$3.08 ,38.55%,3704,08,4.91,,
plan_1890ABD_CR,612100B,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,poly,12'X100' 6 MIL BLACK POLY,1,EA,52.49,39.37,52.49,39.37,$13.12 ,25.00%,4201,08,39.37,,
plan_1890ABD_CR,DUNSHINGLE,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,barrier,DUNNAGE SHINGLES,1,BDL,26.99,17.2601,26.99,17.2601,$9.73 ,36.05%,4107,06,17.2601,,
plan_1890ABD_CR,ITW1508SD,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,crawl post fastener,"1"" DRIVE PIN W/ WASHER 100/BOX",1,BOX,19.99,8.6,19.99,8.6,$11.39 ,56.98%,4503,05,8.6,,
plan_1890ABD_CR,248DF,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,trash bin,2X4-8' STD&BTR DF,8,MBF,634.83,2.90485,27.07,23.2388,$89.83 ,14.15%,2503,09,545,,
plan_1890ABD_CR,716OSB,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|10ABD FOUNDATION,trash bin,"7/16""4X8 OSB RTD",2,MSF,307.95,8.7398496,19.71,17.4796992,$34.83 ,11.31%,3506,08,273.1203,,
plan_1890ABD_CR,2616HF3TICAG,"189010105, 189010205 - 4085, 189010405",|12ABD 3RD CAR GARAGE FOUNDATION,sill plate,2X6-16' #3 HF TRTD AG ICT,1,MBF,872.94,10.0166384,13.97,10.0166384,$246.90 ,28.28%,3002,09,626.0399,,
plan_1890ABD_CR,SS550,"189010105, 189010205 - 4085, 189010405",|12ABD 3RD CAR GARAGE FOUNDATION,sill sealer,"SILL SEALER 5.5"" X 50'",1,EA,7.99,4.91,7.99,4.91,$3.08 ,38.55%,3704,08,4.91,,
plan_1890ABD_CR,BP5/8-3HDG,"189010105, 189010205 - 4085, 189010405",|12ABD 3RD CAR GARAGE FOUNDATION,bearing  plate,"5/8"" 3X3 BEARING PLATE HDG",8,EA,0.67,0.5199,5.36,4.1592,$0.15 ,22.40%,4502,05,0.5199,,
plan_1890ABD_CR,118TGOSBWGOFF,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|18ABD MAIN SUBFLOOR,floor sheathing,"1-1/8""4X8 T&G OSB EDGGLD SIF",29,MSF,1017.44,29.5039968,944.18,855.6159072,$95.44 ,9.38%,3507,08,921.9999,,
plan_1890ABD_CR,SFG,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|18ABD MAIN SUBFLOOR,floor glue,BFS SUB FLR GLUE 28OZ,12,EA,4.08,3.3893,48.96,40.6716,$0.69 ,16.93%,4203,01,3.3893,,
plan_1890ABD_CR,3121178DF18GL,189010100 - 4085,|20A MAIN WALLS,porch beam,3-1/2X11-7/8 GLAM LF,10,LF,15.2,12.9201,152,129.201,$2.28 ,15.00%,2006,10,12.9201,,
plan_1890ABD_CR,31214DF18GL,"189010100 - 4085 , 189010400 - 4085",|20AD MAIN WALLS,garage header,3-1/2X14 GLAM LF,21,LF,19.26,16.37,404.46,343.77,$2.89 ,15.01%,2006,10,16.37,,
plan_1890ABD_CR,2410458DF,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,studs,"2X4-104-5/8"" STUD DF PET",68,MBF,511.36,2.58,208.63,175.44,$81.36 ,15.91%,2505,09,430,,
plan_1890ABD_CR,2610458DF,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,studs,"2X6-104-5/8"" STUD DF PET",184,MBF,517.24,3.87,856.55,712.08,$87.24 ,16.87%,2505,09,430,,
plan_1890ABD_CR,24DF,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,plate,2X4-RL STD&BTR DF,66,MBF,634.83,0.363514867,27.95,23.9919812,$89.83 ,14.15%,2503,09,544.9998,,
plan_1890ABD_CR,2414DF,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,bracing,2X4-14' STD&BTR DF,39,MBF,634.83,5.086485,231.07,198.372915,$89.83 ,14.15%,2503,09,545,,
plan_1890ABD_CR,26DF2,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,plate,2X6-RL #2&BTR DF,320,MBF,556.18,0.4750002,177.98,152.000064,$81.18 ,14.60%,2503,09,475.0002,,
plan_1890ABD_CR,31214DF18GL,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,garage header,3-1/2X14 GLAM LF,21,LF,19.26,16.37,404.46,343.77,$2.89 ,15.01%,2006,10,16.37,,
plan_1890ABD_CR,6816GDF2,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,porch beam,6X8-16' #2 DF GRN,1,MBF,988,50.6836352,63.23,50.6836352,$196.07 ,19.84%,2201,09,791.9318,,
plan_1890ABD_CR,61010GDF2,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,porch beam,6X10-10' #2 DF GRN,1,MBF,980,39.252975,49,39.252975,$194.94 ,19.89%,2201,09,785.0595,,
plan_1890ABD_CR,61012GDF2,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,porch beam,6X10-12' #2 DF GRN,1,MBF,981,47.162898,58.86,47.162898,$194.95 ,19.87%,2201,09,786.0483,,
plan_1890ABD_CR,6612HF2TICGC,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,exterior post,6X6-12' #2 HF TRTD GC ICT,2,MBF,1681,48.5226216,121.03,97.0452432,$333.15 ,19.82%,3004,09,1347.8506,,
plan_1890ABD_CR,716OSB10,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,wall sheathing,"7/16""4X10 OSB RTD",53,MSF,330.68,11.316516,701.04,599.775348,$47.77 ,14.45%,3506,08,282.9129,,
plan_1890ABD_CR,HUC68Z,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,porch beam hanger,5 1/2X5 13/16 HD CONC FLG HGRG,3,EA,23.53,18.3499,70.59,55.0497,$5.18 ,22.01%,4502,05,18.3499,,
plan_1890ABD_CR,ABU66Z,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,post base,ABU66 6X6 ADJ. POST Z-MAX,2,EA,41.35,32.2501,82.7,64.5002,$9.10 ,22.01%,4502,05,32.2501,,
plan_1890ABD_CR,CMSTC16,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,shear strap,CMSTC16 COILED STRAP 16GA,1,EA,202.08,157.6199,202.08,157.6199,$44.46 ,22.00%,4502,05,157.6199,,
plan_1890ABD_CR,LCE4Z,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,post cap,SIMPSON LCE4 POST CAP Z-MAX,4,EA,6.64,5.1798,26.56,20.7192,$1.46 ,21.99%,4502,05,5.1798,,
plan_1890ABD_CR,STB2-62500,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,post base anchor,"5/8 X 5"" STRONG-BOLT 2 ANCHOR",2,EA,2.59,1.3,5.18,2.6,$1.29 ,49.81%,4520,05,1.3,,
plan_1890ABD_CR,HDU2-SDS2.5,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,holddown,"8-11/16"" PREDEFLECTED HOLDOWN",4,EA,25.14,19.6099,100.56,78.4396,$5.53 ,22.00%,4502,05,19.6099,,
plan_1890ABD_CR,HDU5-SDS2.5,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,holddown,"13-3/16"" PREDEFLECTED HOLDOWN",2,EA,35.12,27.39,70.24,54.78,$7.73 ,22.01%,4502,05,27.39,,
plan_1890ABD_CR,LS50,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,shear clip,"LS50 5"" ADJ L ANGLE SIMPSON",40,EA,2.22,1.7301,88.8,69.204,$0.49 ,22.07%,4502,05,1.7301,,
plan_1890ABD_CR,MF04685EA,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,holddown nut,5/8-11 FIN HEX NUT 25#,6,EA,0.69,0.1443,4.14,0.8658,$0.55 ,79.09%,4503,05,0.1443,,
plan_1890ABD_CR,MSTA24,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20ABD MAIN WALLS,strap tie,"24"" MEDIUM STRAP TIE SIMPSON",4,EA,1.63,1.27,6.52,5.08,$0.36 ,22.09%,4502,05,1.27,,
plan_1890ABD_CR,31215DF18GL,189010200 - 4085,|20B MAIN WALLS,garage header,3-1/2X15 GLAM LF,21,LF,19.41,16.5,407.61,346.5,$2.91 ,14.99%,2006,10,16.5,,
plan_1890ABD_CR,12CDXTC40,"189011100 - 4155, 189011130 - 4155",|20mAD FRAMING MASONRY,post framing,"15/32""4X8 CDX RTD TRTD .40",1,MSF,1131,27.7649536,36.19,27.7649536,$263.35 ,23.28%,3001,08,867.6548,,
plan_1890ABD_CR,2412HF2TICGC,"189011100 - 4155, 189011130 - 4155",|20mAD FRAMING MASONRY,post framing,2X4-12' #2 HF TRTD GC ICT,1,MBF,1094.12,7.1094536,8.75,7.1094536,$205.44 ,18.78%,3002,09,888.6817,,
plan_1890ABD_CR,248HF2TICGC,"189011100 - 4155, 189011130 - 4155",|20mAD FRAMING MASONRY,post framing,2X4-8' #2 HF TRTD GC ICT,1,MBF,1094.12,4.734510475,5.83,4.734510475,$206.34 ,18.86%,3002,09,887.7762,,
plan_1890ABD_CR,312712DF18GL,189010100 - 4085,|20rfA MAIN WALLS READYFRAME,header beam,3-1/2X7-1/2 GLAM LF,8,LF,10.19,8.66,81.52,69.28,$1.53 ,15.01%,2006,10,8.66,,
plan_1890ABD_CR,6610GDF2,189010100 - 4085,|20rfA MAIN WALLS READYFRAME,post,6X6-10' #2&BTR DF GRN,1,MBF,1036,24.900006,31.08,24.900006,$206.00 ,19.88%,2201,09,830.0002,,
plan_1890ABD_CR,24SBB,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20rfABD MAIN WALLS READYFRAME,blocking,2X4 22-7/16 SOLID BIRD BLOCK,8,BOM,0.72,0.54,5.76,4.32,$0.18 ,25.00%,2510,09,0.54,,
plan_1890ABD_CR,26SBB,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20rfABD MAIN WALLS READYFRAME,blocking,2X6 22-7/16 SOLID BIRD BLOCK,31,BOM,0.72,0.54,22.32,16.74,$0.18 ,25.00%,2510,09,0.54,,
plan_1890ABD_CR,OSBSTRIPS,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20rfABD MAIN WALLS READYFRAME,filler,"7/16"" X 3 1/2"" X 8' OSB STRIPS",4,EA,1.39,1.1351,5.56,4.5404,$0.25 ,18.34%,3511,08,1.1351,,
plan_1890ABD_CR,7165128OSB,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20rfABD MAIN WALLS READYFRAME,filler,"7/16""5-1/2""X8 OSB NON-RTD",10,MSF,411,1.287117,15.07,12.87117,$60.00 ,14.60%,3506,08,351,,
plan_1890ABD_CR,24DF,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20rfABD MAIN WALLS READYFRAME,plate,2X4-RL STD&BTR DF,386,MBF,634.83,0.363514867,163.44,140.3167385,$89.83 ,14.15%,2503,09,544.9998,,
plan_1890ABD_CR,26DF2,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20rfABD MAIN WALLS READYFRAME,plate,2X6-RL #2&BTR DF,1176,MBF,556.18,0.4750002,654.07,558.6002352,$81.18 ,14.60%,2503,09,475.0002,,
plan_1890ABD_CR,2620DF2,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20rfABD MAIN WALLS READYFRAME,opti studs,2X6-20' #2&BTR DF,23,MBF,556.18,9.499998,255.84,218.499954,$81.18 ,14.60%,2503,09,474.9999,,
plan_1890ABD_CR,4812GDF2,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20rfABD MAIN WALLS READYFRAME,header beam,4X8-12' #2 DF GRN,4,MBF,815.48,20.6399968,104.38,82.5599872,$170.48 ,20.91%,2201,09,644.9999,,
plan_1890ABD_CR,6610GDF2,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|20rfABD MAIN WALLS READYFRAME,post,6X6-10' #2&BTR DF GRN,3,MBF,1036,24.900006,93.24,74.700018,$206.00 ,19.88%,2201,09,830.0002,,
plan_1890ABD_CR,488GDF2,"189010200 - 4085, 189010400 - 4085",|20rfBD MAIN WALLS READYFRAME,header beam,4X8-8' #2 DF GRN,1,MBF,815.48,13.75978713,17.4,13.75978713,$170.48 ,20.91%,2201,09,645.0001,,
plan_1890ABD_CR,5121912DF18GL,"189010105 - 4085, 189010205 - 4085",|22AB 3RD CAR GARAGE WALLS,floor beam,5-1/2X19-1/2 GLAM LF,21,LF,35.51,30.18,745.71,633.78,$5.33 ,15.01%,2006,10,30.18,,
plan_1890ABD_CR,41212GDF2,"189010105 - 4085, 189010405 - 4085",|22AD 3RD CAR GARAGE WALLS,garage header,4X12-12' #2&BTR DF GRN,1,MBF,815.48,30.9600048,39.14,30.9600048,$170.48 ,20.91%,2201,09,645.0001,,
plan_1890ABD_CR,2610458DF,"189010105 - 4085, 189010205 - 4085, 189010405 - 4085",|22ABD 3RD CAR GARAGE WALLS,studs,"2X6-104-5/8"" STUD DF PET",24,MBF,517.24,3.87,111.72,92.88,$87.24 ,16.87%,2505,09,430,,
plan_1890ABD_CR,2414DF,"189010105 - 4085, 189010205 - 4085, 189010405 - 4085",|22ABD 3RD CAR GARAGE WALLS,bracing,2X4-14' STD&BTR DF,3,MBF,634.83,5.086485,17.77,15.259455,$89.83 ,14.15%,2503,09,545,,
plan_1890ABD_CR,26DF2,"189010105 - 4085, 189010205 - 4085, 189010405 - 4085",|22ABD 3RD CAR GARAGE WALLS,plate,2X6-RL #2&BTR DF,182,MBF,556.18,0.4750002,101.22,86.4500364,$81.18 ,14.60%,2503,09,475.0002,,
plan_1890ABD_CR,716OSB10,"189010105 - 4085, 189010205 - 4085, 189010405 - 4085",|22ABD 3RD CAR GARAGE WALLS,wall sheathing,"7/16""4X10 OSB RTD",6,MSF,330.68,11.316516,79.36,67.899096,$47.77 ,14.45%,3506,08,282.9129,,
plan_1890ABD_CR,HGUS5.50/12,"189010105 - 4085, 189010205 - 4085, 189010405 - 4085",|22ABD 3RD CAR GARAGE WALLS,beam hanger,"5 1/2"" JOIST HANGER",1,EA,62.69,48.9,62.69,48.9,$13.79 ,22.00%,4502,05,48.9,,
plan_1890ABD_CR,HU414,"189010105 - 4085, 189010205 - 4085, 189010405 - 4085",|22ABD 3RD CAR GARAGE WALLS,beam hanger,FACE MOUNT DBL HANGER 14MLAM,1,EA,19.54,15.24,19.54,15.24,$4.30 ,22.01%,4502,05,15.24,,
plan_1890ABD_CR,41212GDF2,189010205 - 4085,|22B 3RD CAR GARAGE WALLS,garage header,4X12-12' #2&BTR DF GRN,1,MBF,815.48,30.9600048,39.14,30.9600048,$170.48 ,20.91%,2201,09,645.0001,,
plan_1890ABD_CR,51221DF18GL,189010405 - 4085,|22D 3RD CAR GARAGE WALLS,floor beam,5-1/2X21 GLAM LF,21,LF,39.15,33.28,822.15,698.88,$5.87 ,14.99%,2006,10,33.28,,
plan_1890ABD_CR,1890FT,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|30ABD 2ND FLOOR SYSTEM,floor trusses,1890 Floor Truss Pricing,1,EA,2363,2363,2363,2363,$0.00 ,0.00%,1,l5,2363,,
plan_1890ABD_CR,14114TTECRIM16,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|30ABD 2ND FLOOR SYSTEM,rim/ blocking,"1-1/4X14"" TOLKO LSL RIM 16'",13,EA,77.69,64.48,1009.97,838.24,$13.21 ,17.00%,1,l5,64.48,,
plan_1890ABD_CR,WBC2LVL14LF,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|30ABD 2ND FLOOR SYSTEM,floor beam,1-3/4X14 BC LVL 2.1E LF,15,LF,9.45,8.03,141.75,120.45,$1.42 ,15.03%,2042,10,8.03,,
plan_1890ABD_CR,WBC2LVL31214LF,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|30ABD 2ND FLOOR SYSTEM,floor beam,3-1/2X14 BC LVL 2.1E LF,10,LF,19.98,16.98,199.8,169.8,$3.00 ,15.02%,2042,10,16.98,,
plan_1890ABD_CR,31214DF18GL,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|30ABD 2ND FLOOR SYSTEM,floor beam,3-1/2X14 GLAM LF,29,LF,19.26,16.37,558.54,474.73,$2.89 ,15.01%,2006,10,16.37,,
plan_1890ABD_CR,5121612DF18GL,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|30ABD 2ND FLOOR SYSTEM,floor beam,5-1/2X16-1/2 GLAM LF,21,LF,29,24.65,609,517.65,$4.35 ,15.00%,2006,10,24.65,,
plan_1890ABD_CR,2420DF,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|30ABD 2ND FLOOR SYSTEM,stair stiff back,2X4-20' STD&BTR DF,3,MBF,634.83,7.264851333,25.39,21.794554,$89.83 ,14.15%,2503,09,545.0001,,
plan_1890ABD_CR,288DF2,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|30ABD 2ND FLOOR SYSTEM,landing joist,2X8-8' #2&BTR DF,4,MBF,640.45,5.866848933,27.33,23.46739573,$90.45 ,14.12%,2503,09,549.9999,,
plan_1890ABD_CR,21220DF2,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|30ABD 2ND FLOOR SYSTEM,stair stringer,2X12-20' #2&BTR DF,3,MBF,636.36,28.8,76.36,86.4,($83.64),-13.14%,2503,09,720,,
plan_1890ABD_CR,118TGOSBWGOFF,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|30ABD 2ND FLOOR SYSTEM,landing sheathing,"1-1/8""4X8 T&G OSB EDGGLD SIF",1,MSF,1017.44,29.5039968,32.56,29.5039968,$95.44 ,9.38%,3507,08,921.9999,,
plan_1890ABD_CR,1212OSBS,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|30ABD 2ND FLOOR SYSTEM,stair treads,"5/4""X12""-12' STEP TREAD OSB",5,EA,23.49,16.5118,117.45,82.559,$6.98 ,29.71%,5603,11,16.5118,,
plan_1890ABD_CR,HUS412,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|30ABD 2ND FLOOR SYSTEM,beam hanger,SIMPSON DBL JOIST HANGR HUS412,1,EA,8.76,6.83,8.76,6.83,$1.93 ,22.03%,4502,05,6.83,,
plan_1890ABD_CR,LUS410,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|30ABD 2ND FLOOR SYSTEM,beam hanger,LUS410 JOIST HANGER 4X10,1,EA,3.19,2.49,3.19,2.49,$0.70 ,21.94%,4502,05,2.49,,
plan_1890ABD_CR,78TGOSBWGOFF,"189010100 - 4085, 189010200 - 4085, 189010400 - 4085",|32ABD 2ND FLOOR SUBFLOOR,floor sheathing,"7/8""4X8 T&G OSB EDGGLD SIF FF",36,MSF,773.26,23.1039968,890.8,831.7438848,$51.26 ,6.63%,3507,08,721.9999,,
