PlanTable,ItemID,OptionPhase,PackID,Description,OnlineDescription,Qty,UOM,SellEach,CostEach,ExtPrice,ExtCost,MarginDollar,MarginPercent,Category,PriceLevel,CostUOM,BlendCost,AvgCost
plan_1670ABCD_CR,BP5/8-3HDG,"167010105 - 4085 , 167010205 - 4085 , 167010305 - 4085 , 167010405 - 4085",|12ABCD 3RD CAR GARAGE FOUNDATION,bearing  plate,"5/8"" 3X3 BEARING PLATE HDG",10,EA,0.67,0.5199,6.7,5.199,$0.15 ,22.40%,4502,05,0.5199,,
plan_1670ABCD_CR,118TGOSBWGOFF,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|18ABCD MAIN DECKING,floor sheathing,"1-1/8""4X8 T&G OSB EDGGLD SIF",24,MSF,1017.44,29.5039968,781.39,708.0959232,$95.44 ,9.38%,3507,08,921.9999,,
plan_1670ABCD_CR,SFG,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|18ABCD MAIN DECKING,floor glue,BFS SUB FLR GLUE 28OZ,6,EA,4.08,3.3893,24.48,20.3358,$0.69 ,16.93%,4203,01,3.3893,,
plan_1670ABCD_CR,2410458DF,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,studs,"2X4-104-5/8"" STUD DF PET",52,MBF,511.36,2.58,159.54,134.16,$81.36 ,15.91%,2505,09,430,,
plan_1670ABCD_CR,2610458DF,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,studs,"2X6-104-5/8"" STUD DF PET",148,MBF,517.24,3.87,688.96,572.76,$87.24 ,16.87%,2505,09,430,,
plan_1670ABCD_CR,24DF,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,plate,2X4-RL STD&BTR DF,82,MBF,634.83,0.363514867,34.72,29.80821906,$89.83 ,14.15%,2503,09,544.9998,,
plan_1670ABCD_CR,2414DF,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,bracing,2X4-14' STD&BTR DF,26,MBF,634.83,5.086485,154.05,132.24861,$89.83 ,14.15%,2503,09,545,,
plan_1670ABCD_CR,2420DF,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,bracing,2X4-20' STD&BTR DF,6,MBF,634.83,7.264851333,50.77,43.589108,$89.83 ,14.15%,2503,09,545.0001,,
plan_1670ABCD_CR,26DF2,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,plate,2X6-RL #2&BTR DF,424,MBF,556.18,0.4750002,235.82,201.4000848,$81.18 ,14.60%,2503,09,475.0002,,
plan_1670ABCD_CR,41212GDF2,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,porch beam,4X12-12' #2&BTR DF GRN,1,MBF,815.48,30.9600048,39.14,30.9600048,$170.48 ,20.91%,2201,09,645.0001,,
plan_1670ABCD_CR,51215DF18GL,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,garage header,5-1/2X15 GLAM LF,21,LF,26.09,22.18,547.89,465.78,$3.91 ,14.99%,2006,10,22.18,,
plan_1670ABCD_CR,716OSB,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,wall sheathing,"7/16""4X8 OSB RTD",4,MSF,307.95,8.7398496,39.42,34.9593984,$34.83 ,11.31%,3506,08,273.1203,,
plan_1670ABCD_CR,716OSB10,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,wall sheathing,"7/16""4X10 OSB RTD",40,MSF,330.68,11.316516,529.09,452.66064,$47.77 ,14.45%,3506,08,282.9129,,
plan_1670ABCD_CR,6612HF2TICGC,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,exterior post,6X6-12' #2 HF TRTD GC ICT,1,MBF,1681,48.5226216,60.52,48.5226216,$333.15 ,19.82%,3004,09,1347.8506,,
plan_1670ABCD_CR,A35,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,post connection,"1-7/16X4-1/2"" FRAMING ANCHOR",4,EA,0.53,0.41,2.12,1.64,$0.12 ,22.64%,4502,05,0.41,,
plan_1670ABCD_CR,ABU66Z,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,post base,ABU66 6X6 ADJ. POST Z-MAX,1,EA,41.35,32.2501,41.35,32.2501,$9.10 ,22.01%,4502,05,32.2501,,
plan_1670ABCD_CR,CS22-R,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,strap tie,COILED STRAP 22GA 25',1,EA,32.42,25.29,32.42,25.29,$7.13 ,21.99%,4502,05,25.29,,
plan_1670ABCD_CR,HDU5-SDS2.5,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,holddown,"13-3/16"" PREDEFLECTED HOLDOWN",2,EA,35.12,27.39,70.24,54.78,$7.73 ,22.01%,4502,05,27.39,,
plan_1670ABCD_CR,LCE4Z,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,post cap,SIMPSON LCE4 POST CAP Z-MAX,2,EA,6.64,5.1798,13.28,10.3596,$1.46 ,21.99%,4502,05,5.1798,,
plan_1670ABCD_CR,MF04685EA,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,holddown nut,5/8-11 FIN HEX NUT 25#,2,EA,0.69,0.1443,1.38,0.2886,$0.55 ,79.09%,4503,05,0.1443,,
plan_1670ABCD_CR,MSTA24,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,portal frame strap,"24"" MEDIUM STRAP TIE SIMPSON",8,EA,1.63,1.27,13.04,10.16,$0.36 ,22.09%,4502,05,1.27,,
plan_1670ABCD_CR,STB2-62500,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20ABCD MAIN WALLS,post base anchor,"5/8 X 5"" STRONG-BOLT 2 ANCHOR",1,EA,2.59,1.3,2.59,1.3,$1.29 ,49.81%,4520,05,1.3,,
plan_1670ABCD_CR,4128GDF2,167010300 - 4085,|20C MAIN WALLS,porch beam,4X12-8' #2&BTR DF GRN,1,MBF,744.05,20.64,23.81,20.64,$99.05 ,13.31%,2201,09,645,,
plan_1670ABCD_CR,HUC412Z,167010300 - 4085,|20C MAIN WALLS,beam hanger,4X12 F/M IJST HGR CNCL FLG ZMX,1,EA,21.72,16.9398,21.72,16.9398,$4.78 ,22.01%,4502,05,16.9398,,
plan_1670ABCD_CR,24SBB,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20rfABCD MAIN WALLS READYFRAME,blocking,2X4 22-7/16 SOLID BIRD BLOCK,8,BOM,0.72,0.54,5.76,4.32,$0.18 ,25.00%,2510,09,0.54,,
plan_1670ABCD_CR,26SBB,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20rfABCD MAIN WALLS READYFRAME,blocking,2X6 22-7/16 SOLID BIRD BLOCK,31,BOM,0.72,0.54,22.32,16.74,$0.18 ,25.00%,2510,09,0.54,,
plan_1670ABCD_CR,OSBSTRIPS,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20rfABCD MAIN WALLS READYFRAME,filler,"7/16"" X 3 1/2"" X 8' OSB STRIPS",4,EA,1.39,1.1351,5.56,4.5404,$0.25 ,18.34%,3511,08,1.1351,,
plan_1670ABCD_CR,7165128OSB,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20rfABCD MAIN WALLS READYFRAME,filler,"7/16""5-1/2""X8 OSB NON-RTD",10,MSF,411,1.287117,15.07,12.87117,$60.00 ,14.60%,3506,08,351,,
plan_1670ABCD_CR,24DF,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20rfABCD MAIN WALLS READYFRAME,plate,2X4-RL STD&BTR DF,236,MBF,634.83,0.363514867,99.93,85.78950852,$89.83 ,14.15%,2503,09,544.9998,,
plan_1670ABCD_CR,26DF2,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20rfABCD MAIN WALLS READYFRAME,plate,2X6-RL #2&BTR DF,883,MBF,556.18,0.4750002,491.11,419.4251766,$81.18 ,14.60%,2503,09,475.0002,,
plan_1670ABCD_CR,2620DF2,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20rfABCD MAIN WALLS READYFRAME,balloon studs,2X6-20' #2&BTR DF,32,MBF,556.18,9.499998,355.96,303.999936,$81.18 ,14.60%,2503,09,474.9999,,
plan_1670ABCD_CR,4108GDF2,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20rfABCD MAIN WALLS READYFRAME,header beam,4X10-8' #2 DF GRN,1,MBF,815.48,17.20021233,21.75,17.20021233,$170.48 ,20.91%,2201,09,644.9999,,
plan_1670ABCD_CR,4128GDF2,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20rfABCD MAIN WALLS READYFRAME,header beam,4X12-8' #2&BTR DF GRN,1,MBF,744.05,20.64,23.81,20.64,$99.05 ,13.31%,2201,09,645,,
plan_1670ABCD_CR,4812GDF2,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20rfABCD MAIN WALLS READYFRAME,header beam,4X8-12' #2 DF GRN,2,MBF,815.48,20.6399968,52.19,41.2799936,$170.48 ,20.91%,2201,09,644.9999,,
plan_1670ABCD_CR,6610GDF2,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|20rfABCD MAIN WALLS READYFRAME,post,6X6-10' #2&BTR DF GRN,2,MBF,1036,24.900006,62.16,49.800012,$206.00 ,19.88%,2201,09,830.0002,,
plan_1670ABCD_CR,716OSB10,167020070,|20ABCDR3 MAIN WALLS - REG3,wall sheathing,"7/16""4X10 OSB RTD",5,MSF,330.68,11.316516,66.14,56.58258,$47.77 ,14.45%,3506,08,282.9129,,
plan_1670ABCD_CR,HDU2-SDS2.5,167020070,|20ABCDR3 MAIN WALLS - REG3,holddown,"8-11/16"" PREDEFLECTED HOLDOWN",2,EA,25.14,19.6099,50.28,39.2198,$5.53 ,22.00%,4502,05,19.6099,,
plan_1670ABCD_CR,MF04685EA,167020070,|20ABCDR3 MAIN WALLS - REG3,holddown nut,5/8-11 FIN HEX NUT 25#,2,EA,0.69,0.1443,1.38,0.2886,$0.55 ,79.09%,4503,05,0.1443,,
plan_1670ABCD_CR,2610458DF,"167010105 - 4085 , 167010205 - 4085 , 167010305 - 4085 , 167010405 - 4085",|22ABCD 3RD CAR GARAGE WALLS,studs,"2X6-104-5/8"" STUD DF PET",27,MBF,517.24,3.87,125.69,104.49,$87.24 ,16.87%,2505,09,430,,
plan_1670ABCD_CR,2414DF,"167010105 - 4085 , 167010205 - 4085 , 167010305 - 4085 , 167010405 - 4085",|22ABCD 3RD CAR GARAGE WALLS,bracing,2X4-14' STD&BTR DF,4,MBF,634.83,5.086485,23.7,20.34594,$89.83 ,14.15%,2503,09,545,,
plan_1670ABCD_CR,26DF2,"167010105 - 4085 , 167010205 - 4085 , 167010305 - 4085 , 167010405 - 4085",|22ABCD 3RD CAR GARAGE WALLS,plate,2X6-RL #2&BTR DF,120,MBF,556.18,0.4750002,66.74,57.000024,$81.18 ,14.60%,2503,09,475.0002,,
plan_1670ABCD_CR,41212GDF2,"167010105 - 4085 , 167010205 - 4085 , 167010305 - 4085 , 167010405 - 4085",|22ABCD 3RD CAR GARAGE WALLS,garage header,4X12-12' #2&BTR DF GRN,1,MBF,815.48,30.9600048,39.14,30.9600048,$170.48 ,20.91%,2201,09,645.0001,,
plan_1670ABCD_CR,6610GDF2,"167010105 - 4085 , 167010205 - 4085 , 167010305 - 4085 , 167010405 - 4085",|22ABCD 3RD CAR GARAGE WALLS,post,6X6-10' #2&BTR DF GRN,1,MBF,1036,24.900006,31.08,24.900006,$206.00 ,19.88%,2201,09,830.0002,,
plan_1670ABCD_CR,716OSB10,"167010105 - 4085 , 167010205 - 4085 , 167010305 - 4085 , 167010405 - 4085",|22ABCD 3RD CAR GARAGE WALLS,wall sheathing,"7/16""4X10 OSB RTD",8,MSF,330.68,11.316516,105.82,90.532128,$47.77 ,14.45%,3506,08,282.9129,,
plan_1670ABCD_CR,ABU66Z,"167010105 - 4085 , 167010205 - 4085 , 167010305 - 4085 , 167010405 - 4085",|22ABCD 3RD CAR GARAGE WALLS,post base,ABU66 6X6 ADJ. POST Z-MAX,1,EA,41.35,32.2501,41.35,32.2501,$9.10 ,22.01%,4502,05,32.2501,,
plan_1670ABCD_CR,ECC66,"167010105 - 4085 , 167010205 - 4085 , 167010305 - 4085 , 167010405 - 4085",|22ABCD 3RD CAR GARAGE WALLS,post cap,SIMPSON END COL CAP 6X6,1,EA,90.9,70.9,90.9,70.9,$20.00 ,22.00%,4502,05,70.9,,
plan_1670ABCD_CR,STB2-62500,"167010105 - 4085 , 167010205 - 4085 , 167010305 - 4085 , 167010405 - 4085",|22ABCD 3RD CAR GARAGE WALLS,post base anchor,"5/8 X 5"" STRONG-BOLT 2 ANCHOR",1,EA,2.59,1.3,2.59,1.3,$1.29 ,49.81%,4520,05,1.3,,
plan_1670ABCD_CR,A35,"167010105 - 4085 , 167010205 - 4085 , 167010305 - 4085 , 167010405 - 4085",|22ABCD 3RD CAR GARAGE WALLS,angle clip,"1-7/16X4-1/2"" FRAMING ANCHOR",7,EA,0.53,0.41,3.71,2.87,$0.12 ,22.64%,4502,05,0.41,,
plan_1670ABCD_CR,HDU5-SDS2.5,"167010105 - 4085 , 167010205 - 4085 , 167010305 - 4085 , 167010405 - 4085",|22ABCD 3RD CAR GARAGE WALLS,holddown,"13-3/16"" PREDEFLECTED HOLDOWN",1,EA,35.12,27.39,35.12,27.39,$7.73 ,22.01%,4502,05,27.39,,
plan_1670ABCD_CR,HDU8-SDS2.5,"167010105 - 4085 , 167010205 - 4085 , 167010305 - 4085 , 167010405 - 4085",|22ABCD 3RD CAR GARAGE WALLS,holddown,"16-5/8""HOLDOWN HANGER W/SCREWS",1,EA,49.87,38.9001,49.87,38.9001,$10.97 ,22.00%,4502,05,38.9001,,
plan_1670ABCD_CR,MF05350EA,"167010105 - 4085 , 167010205 - 4085 , 167010305 - 4085 , 167010405 - 4085",|22ABCD 3RD CAR GARAGE WALLS,holddown nut,7/8-9 FIN HEX NUT 25#,1,EA,1.45,0.3571,1.45,0.3571,$1.09 ,75.37%,4503,05,0.3571,,
plan_1670ABCD_CR,HDU4-SDS2.5,"167010105 - 4085 , 167010205 - 4085 , 167010305 - 4085 , 167010405 - 4085",|22ABCD 3RD CAR GARAGE WALLS,holddown,HDU4-SDS2.5 HOLDDOWN,-1,EA,29.59,23.08,-29.59,-23.08,$6.51 ,22.00%,4502,05,23.08,,
