Richmond_Pack_ID,Shipping_Order,Elevation_Letters_Original,Option_Codes,Phase_Str,Pack_Name,Item_No,Item_Type,Old_Code,Plan_No,New_Phase_Code,New_Elevation_Code,New_Item_Type_Code,New_Full_Code
014.300 DECK FOUNDATION      ,1,,DECK3,14.3,DECK FOUNDATION      ,1000,Framing,XXXX-14.3-1000,PPPP,014.300,**,1000,PPPP-014.300-**-1000
015.100 COVERED DECK FOUNDATION     ,1,,COVD,15.1,COVERED DECK FOUNDATION     ,1000,Framing,XXXX-15.1-1000,PPPP,015.100,**,1000,PPPP-015.100-**-1000
015.200 COVERED DECK FOUNDATION     ,1,,COVD2,15.2,COVERED DECK FOUNDATION     ,1000,Framing,XXXX-15.2-1000,PPPP,015.200,**,1000,PPPP-015.200-**-1000
015.300 COVERED DECK FOUNDATION     ,1,,COVD3,15.3,COVERED DECK FOUNDATION     ,1000,Framing,XXXX-15.3-1000,PPPP,015.300,**,1000,PPPP-015.300-**-1000
016.100 TRUSSED MAIN FLOOR OVER BASEMENT   ,1,,WO,16.1,TRUSSED MAIN FLOOR OVER BASEMENT   ,1000,Framing,XXXX-16.1-1000,PPPP,016.100,**,1000,PPPP-016.100-**-1000
016.610 WO BSMT MAIN FLOOR    ,1,,SUNWO,16.61,WO BSMT MAIN FLOOR    ,1000,Framing,XXXX-16.61-1000,PPPP,016.610,**,1000,PPPP-016.610-**-1000
016.100 OPT WO BASEMENT MAIN FLOOR SYSTEM  ,1,,WO,16.1,OPT WO BASEMENT MAIN FLOOR SYSTEM  ,1000,Framing,XXXX-16.10-1000,PPPP,016.100,**,1000,PPPP-016.100-**-1000
016.200 OPT WO 2 BASEMENT MAIN FLOOR SYSTEM  ,1,,WO2,16.2,OPT WO 2 BASEMENT MAIN FLOOR SYSTEM  ,1000,Framing,XXXX-16.20-1000,PPPP,016.200,**,1000,PPPP-016.200-**-1000
018.820 OPT DEN SUBFLOOR     ,2,,DEN,18.82,OPT DEN SUBFLOOR     ,1000,Framing,XXXX-18.82-1000,PPPP,018.820,**,1000,PPPP-018.820-**-1000
018.820 OPT DEN SUBFLOOR     ,2,"B, C, D",DEN,18.82,OPT DEN SUBFLOOR     ,1000,Framing,XXXX-18.82-1000,PPPP,018.820,BCD,1000,PPPP-018.820-BCD-1000
