Sku,Description,Elevation,Option,Pack,Quantity,Price
1212OSBS,5/4"X12"-12' STEP TREAD OSB,,,|30 2ND FLOOR SYSTEM,5,23.49
LUS26,LUS26 JOIST HANGER 2X6,,,|30 2ND FLOOR SYSTEM,16,1.04
LTP4,LATERAL TIE PLATE,,,|30 2ND FLOOR SYSTEM,20,0.55
A35,1-7/16X4-1/2" FRAMING ANCHOR,,,|30 2ND FLOOR SYSTEM,10,0.53
H2.5AZ,H2.5A HURRICANE TIE Z-MAX,,,|30 2ND FLOOR SYSTEM,15,0.50
3129DF18GL,3-1/2X9 GLAM LF,A,,|20rf MAIN WALLS READYFRAME,3,11.55
26DF2,2X6-RL #2&BTR DF,A,,|20rf MAIN WALLS READYFRAME,12,561.80
5121612DF18GL,5-1/2X16-1/2 GLAM LF,A,,|20 MAIN WALLS ADD ON,18,29.00
51218DF18GL,5-1/2X18 GLAM LF,A,,|20 MAIN WALLS ADD ON,18,32.33
2612DF2,2X6-12' #2&BTR DF,A,,|20 MAIN WALLS ADD ON,1,561.80
8812HF2TICGC,8X8-12' #2 HF TRTD GC ICT,A,,|20 MAIN WALLS ADD ON,1,2778.67
ABU88Z,ABU88 8X8 ADJ. POST Z-MAX,A,,|20 MAIN WALLS ADD ON,1,73.40
24DF,2X4-RL STD&BTR DF,,,|34 2ND WALLS,280,629.21
2414DF,2X4-14' STD&BTR DF,,,|34 2ND WALLS,13,629.21
26DF2,2X6-RL #2&BTR DF,,,|34 2ND WALLS,314,561.80
716OSB,7/16"4X8 OSB RTD,,,|34 2ND WALLS,9,302.27
716OSB9,7/16"4X9 OSB RTD,,,|34 2ND WALLS,44,313.64
210DF2,2X10-RL #2&BTR DF,A,,|34rf 2ND WALLS READYFRAME,12,664.77
24DF,2X4-RL STD&BTR DF,A,,|34rf 2ND WALLS READYFRAME,20,629.21
26DF2,2X6-RL #2&BTR DF,A,,|34rf 2ND WALLS READYFRAME,56,561.80
1320WWP,1X3-20' WW PRIMED,A,,|40 ROOF,11,2460.00
2820WWP,2"X8"-20' WW PRIMED,A,,|40 ROOF,11,1487.21
24DF,2X4-RL STD&BTR DF,A,,|40 ROOF,776,629.21
2612DF2,2X6-12' #2&BTR DF,A,,|40 ROOF,8,561.80
2614DF2,2X6-14' #2&BTR DF,A,,|40 ROOF,8,561.80
2616DF2,2X6-16' #2&BTR DF,A,,|40 ROOF,8,561.80
2620DF2,2X6-20' #2&BTR DF,A,,|40 ROOF,8,561.80
2812DF2,2X8-12' #2&BTR DF,A,,|40 ROOF,2,653.41
