Description,Blank1,Blank2,Sku,Quantity,Price,Blank4,Pack
1-1/8"4X8 T&G OSB EDGGLD SIF,,,118TGOSBWGOFF,2,1017.44000,,|30 2ND FLOOR SYSTEM
5/4"X12"-12' STEP TREAD OSB,,,1212OSBS,5,23.49000,,|30 2ND FLOOR SYSTEM
LUS26 JOIST HANGER 2X6,,,LUS26,16,1.04000,,|30 2ND FLOOR SYSTEM
LATERAL TIE PLATE,,,LTP4,20,0.55000,,|30 2ND FLOOR SYSTEM
1-7/16X4-1/2" FRAMING ANCHOR,,,A35,10,0.53000,,|30 2ND FLOOR SYSTEM
H2.5A HURRICANE TIE Z-MAX,,,H2.5AZ,15,0.50000,,|30 2ND FLOOR SYSTEM
3-1/2X9 GLAM LF,,,3129DF18GL,3,11.55000,,|20rf MAIN WALLS READYFRAME
2X6-RL #2&BTR DF,,,26DF2,12,561.80000,,|20rf MAIN WALLS READYFRAME
5-1/2X16-1/2 GLAM LF,,,5121612DF18GL,18,29.00000,,|20 MAIN WALLS ADD ON
5-1/2X18 GLAM LF,,,51218DF18GL,18,32.33000,,|20 MAIN WALLS ADD ON
2X6-12' #2&BTR DF,,,2612DF2,1,561.80000,,|20 MAIN WALLS ADD ON
8X8-12' #2 HF TRTD GC ICT,,,8812HF2TICGC,1,2778.67000,,|20 MAIN WALLS ADD ON
ABU88 8X8 ADJ. POST Z-MAX,,,ABU88Z,1,73.40000,,|20 MAIN WALLS ADD ON
2X4-RL STD&BTR DF,,,24DF,280,629.21000,,|34 2ND WALLS
2X4-14' STD&BTR DF,,,2414DF,13,629.21000,,|34 2ND WALLS
2X6-RL #2&BTR DF,,,26DF2,314,561.80000,,|34 2ND WALLS
7/16"4X8 OSB RTD,,,716OSB,9,302.27000,,|34 2ND WALLS
7/16"4X9 OSB RTD,,,716OSB9,44,313.64000,,|34 2ND WALLS
2X10-RL #2&BTR DF,,,210DF2,12,664.77000,,|34rf 2ND WALLS READYFRAME
2X4-RL STD&BTR DF,,,24DF,20,629.21000,,|34rf 2ND WALLS READYFRAME
2X6-RL #2&BTR DF,,,26DF2,56,561.80000,,|34rf 2ND WALLS READYFRAME
1X3-20' WW PRIMED,,,1320WWP,11,2460.00000,,|40 ROOF
2"X8"-20' WW PRIMED,,,2820WWP,11,1487.21000,,|40 ROOF
2X4-RL STD&BTR DF,,,24DF,776,629.21000,,|40 ROOF
2X6-12' #2&BTR DF,,,2612DF2,8,561.80000,,|40 ROOF
2X6-14' #2&BTR DF,,,2614DF2,8,561.80000,,|40 ROOF
2X6-16' #2&BTR DF,,,2616DF2,8,561.80000,,|40 ROOF
2X6-20' #2&BTR DF,,,2620DF2,8,561.80000,,|40 ROOF
2X8-12' #2&BTR DF,,,2812DF2,2,653.41000,,|40 ROOF
2X8-20' #2&BTR DF,,,2820DF2,1,653.41000,,|40 ROOF
7/16"4X8 OSB RTD,,,716OSB,116,302.27000,,|40 ROOF
4X8 TX SOFFIT SMART STRAND 76,,,SS7648CS,10,1758.82000,,|40 ROOF
SIMPSON HTS20 TWIST STRAP,,,HTS20,4,2.32000,,|40 ROOF
SIMPSON STC ROOF CLIP,,,STC,14,0.51000,,|40 ROOF
ARS28 "SUPER ANCHOR" ROOF,,,ARS28RA,2,63.49000,,|40 ROOF
1/2" STEEL PLYWOOD CLIP (EA),,,PSCL1/2EA,360,0.08000,,|40 ROOF
9'X125' TYVEK DRAINWRP RICHMND,,,9125DWRA,4,171.99000,,|58 HOUSEWRAP
3"X164' TYVEK WHT TP RICHMOND,,,TTAPE3-164RA,12,17.99000,,|58 HOUSEWRAP
4"X75' DUPONT FLASH TP RICHMND,,,475DFTRA,8,30.09000,,|58 HOUSEWRAP
9"X75' TYVEK FW NF TP RICHMOND,,,975TFWNFRA,4,172.99000,,|58 HOUSEWRAP
