CUSTOMER,HERITAGE HMS OF MOLALLA OR*
PRICE CHANGES TO APPLY
"Enter your margin changes below. Use ""ALL"" in Item ID to apply to entire category."
Pricing Zone,Product Category,Minor Category,Item ID,Description,New_Price,Price Level,Status,Target Column,Notes,Category,Dart_Category_No,Minor_Category_No
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,248DF,2X4-8' STD&BTR DF,634.83,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2410DF,2X4-10' STD&BTR DF,634.83,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2412DF,2X4-12' STD&BTR DF,634.83,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2414DF,2X4-14' STD&BTR DF,634.83,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2416DF,2X4-16' STD&BTR DF,634.83,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2418DF,2X4-18' STD&BTR DF,634.83,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2420DF,2X4-20' STD&BTR DF,634.83,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,26DF2,2X6-RL #2&BTR DF,567.42,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,268DF2,2X6-8' #2&BTR DF,567.42,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2610DF2,2X6-10' #2&BTR DF,567.42,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2612DF2,2X6-12' #2&BTR DF,567.42,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2614DF2,2X6-14' #2&BTR DF,567.42,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2616DF2,2X6-16' #2&BTR DF,567.42,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2618DF2,2X6-18' #2&BTR DF,567.42,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2620DF2,2X6-20' #2&BTR DF,567.42,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,28DF2,2X8-RL #2&BTR DF,653.41,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,288DF2,2X8-8' #2&BTR DF,653.41,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2810DF2,2X8-10' #2&BTR DF,653.41,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2812DF2,2X8-12' #2&BTR DF,653.41,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2814DF2,2X8-14' #2&BTR DF,653.41,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2816DF2,2X8-16' #2&BTR DF,653.41,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2818DF2,2X8-18' #2&BTR DF,653.41,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2820DF2,2X8-20' #2&BTR DF,653.41,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,210DF2,2X10-RL #2&BTR DF,664.77,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2108DF2,2X10-8' #2&BTR DF,664.77,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,21010DF2,2X10-10' #2&BTR DF,664.77,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,21012DF2,2X10-12' #2&BTR DF,664.77,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,21014DF2,2X10-14' #2&BTR DF,664.77,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,21016DF2,2X10-16' #2&BTR DF,664.77,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,21018DF2,2X10-18' #2&BTR DF,664.77,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,21020DF2,2X10-20' #2&BTR DF,664.77,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,212DF2,2X12-RL #2&BTR DF,659.09,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,2128DF2,2X12-8' #2&BTR DF,659.09,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,21210DF2,2X12-10' #2&BTR DF,659.09,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,21212DF2,2X12-12' #2&BTR DF,659.09,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,21214DF2,2X12-14' #2&BTR DF,659.09,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,21216DF2,2X12-16' #2&BTR DF,659.09,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,21218DF2,2X12-18' #2&BTR DF,659.09,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,25 - LUMBER,2503 - DOUG FIR-LUMBER,21220DF2,2X12-20' #2&BTR DF,659.09,09,,AR,Will update PL09 → Column AR,2503 ,1,2503
PORTOR,35 - PANELS:PLYWOOD/OSB,3506 - SHEATHING OSB,716OSB,"7/16""4X8 OSB RTD",296.59,08,,AO,Will update PL08 → Column AO,3506 ,2,3506
PORTOR,35 - PANELS:PLYWOOD/OSB,3506 - SHEATHING OSB,716OSB9,"7/16""4X9 OSB RTD",307.95,08,,AO,Will update PL08 → Column AO,3506 ,2,3506
PORTOR,35 - PANELS:PLYWOOD/OSB,3506 - SHEATHING OSB,716OSB10,"7/16""4X10 OSB RTD",319.32,08,,AO,Will update PL08 → Column AO,3506 ,2,3506
PORTOR,35 - PANELS:PLYWOOD/OSB,3507 - UNDERLAYMENT OSB,34TGOSBWGOFF,"23/32""4X8 T&G OSB EDGGLD SIF",615.12,08,,AO,Will update PL08 → Column AO,3507 ,2,3507
PORTOR,35 - PANELS:PLYWOOD/OSB,3507 - UNDERLAYMENT OSB,78TGOSBWGOFF,"7/8""4X8 T&G OSB EDGGLD SIF FF",767.44,08,,AO,Will update PL08 → Column AO,3507 ,2,3507
PORTOR,35 - PANELS:PLYWOOD/OSB,3507 - UNDERLAYMENT OSB,118TGOSBWGOFF,"1-1/8""4X8 T&G OSB EDGGLD SIF",1011.63,08,,AO,Will update PL08 → Column AO,3507 ,2,3507
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,44GDF,4X4-RL STD&BTR DF GRN,702.38,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,448GDF,4X4-8' STD&BTR DF GRN,702.38,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,4410GDF,4X4-10' STD&BTR DF GRN,702.38,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,4412GDF,4X4-12' STD&BTR DF GRN,702.38,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,4416GDF,4X4-16' STD&BTR DF GRN,702.38,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
