Sku,Qty,Description,Pack,Manual Price,System Price,System Cost,Type,Qty UOM,Price UOM,EXT Price,Manual Cost,Margin (Avg %),Last Edited By,Day/Time,Price Source,Price Territory,Begin/End Date,Category,Target Margin,Minimum Margin,Price Last Update,Vendor Reprice Date,Notes,Tally Measurements,Extended Description,Estimator Notes
BP5/8-3HDG,0,5/8" 3X3 BEARING PLATE HDG,|10 FOUNDATION,0.67000,0.95040,,ST,EA,EA,0.0000000000000,,40.3,Corey Boser,"11/19/2025; 12:18 AM",Manual,,,4502,,,11/19/2025,,,,,
BP5/8-3HDG,68,5/8" 3X3 BEARING PLATE HDG,|10 FOUNDATION-A,0.67000,0.95040,,ST,EA,EA,45.5600000000000,,40.3,Corey Boser,"11/19/2025; 12:18 AM",Manual,,,4502,,,11/19/2025,,,,,bearing  plate
HU48,0,FACE MOUNT HANGER,|10 FOUNDATION,11.36000,14.79000,,ST,EA,EA,0.0000000000000,,22.0,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,06/02/2025,4502,,,11/19/2025,,,,,
HU48,4,FACE MOUNT HANGER,|10 FOUNDATION-A,11.36000,14.79000,,ST,EA,EA,45.4400000000000,,22.0,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,06/02/2025,4502,,,11/19/2025,,,,,beam hanger
DUNSHINGLE,0,DUNNAGE SHINGLES,|10 FOUNDATION,26.99000,26.49000,,ST,BDL,BDL,0.0000000000000,,30.3,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/03/2025,4107,,,11/19/2025,,,,,
DUNSHINGLE,2,DUNNAGE SHINGLES,|10 FOUNDATION-A,26.99000,26.49000,,ST,BDL,BDL,53.9800000000000,,30.3,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/03/2025,4107,,,11/19/2025,,,,,barrier
SS550,0,SILL SEALER 5.5" X 50',|10 FOUNDATION,7.99000,8.19000,,ST,EA,EA,0.0000000000000,,38.5,Corey Boser,"11/19/2025; 12:18 AM",Manual,,,3704,,,11/19/2025,,,,,
SS550,4,SILL SEALER 5.5" X 50',|10 FOUNDATION-A,7.99000,8.19000,,ST,EA,EA,31.9600000000000,,38.5,Corey Boser,"11/19/2025; 12:18 AM",Manual,,,3704,,,11/19/2025,,,,,sill sealer
248DF,0,2X4-8' STD&BTR DF,|10 FOUNDATION,634.83000,744.00000,,ST,MBF,MBF,0.0000000000000,,15.7,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2503,,,11/19/2025,,,,,
248DF,8,2X4-8' STD&BTR DF,|10 FOUNDATION-A,634.83000,744.00000,,ST,MBF,MBF,27.0691512000000,,15.7,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2503,,,11/19/2025,,,,,trash bin
118TGOSBWGOFF,0,1-1/8"4X8 T&G OSB EDGGLD SIF,|18 MAIN DECKING,1017.44000,1248.00000,,ST,MSF,MSF,0.0000000000000,,10.9,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,3507,,,11/19/2025,,,,,
118TGOSBWGOFF,24,1-1/8"4X8 T&G OSB EDGGLD SIF,|18 MAIN DECKING-A,1017.44000,1248.00000,,ST,MSF,MSF,781.3939200000000,,10.9,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,3507,,,11/19/2025,,,,,floor sheathing
SFG,0,BFS SUB FLR GLUE 28OZ,|18 MAIN DECKING,4.08000,4.58100,,ST,EA,EA,0.0000000000000,,17.2,Corey Boser,"11/19/2025; 12:18 AM",Manual,,,4203,,,11/19/2025,,,,,
SFG,6,BFS SUB FLR GLUE 28OZ,|18 MAIN DECKING-A,4.08000,4.58100,,ST,EA,EA,24.4800000000000,,17.2,Corey Boser,"11/19/2025; 12:18 AM",Manual,,,4203,,,11/19/2025,,,,,floor glue
2410458DF,0,2X4-104-5/8" STUD DF PET,|20 MAIN WALLS,511.36000,653.00000,,ST,MBF,MBF,0.0000000000000,,8.1,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2505,,,11/19/2025,,,,,
2410458DF,52,2X4-104-5/8" STUD DF PET,|20 MAIN WALLS-A,511.36000,653.00000,,ST,MBF,MBF,159.5443200000000,,8.1,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2505,,,11/19/2025,,,,,studs
2610458DF,0,2X6-104-5/8" STUD DF PET,|20 MAIN WALLS,517.24000,653.00000,,ST,MBF,MBF,0.0000000000000,,9.1,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2505,,,11/19/2025,,,,,
2610458DF,148,2X6-104-5/8" STUD DF PET,|20 MAIN WALLS-A,517.24000,653.00000,,ST,MBF,MBF,688.9636800000000,,9.1,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2505,,,11/19/2025,,,,,studs
24DF,0,2X4-RL STD&BTR DF,|20 MAIN WALLS,634.83000,744.00000,,ST,MBF,MBF,0.0000000000000,,15.7,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2503,,,11/19/2025,,,,,
24DF,82,2X4-RL STD&BTR DF,|20 MAIN WALLS-A,634.83000,744.00000,,ST,MBF,MBF,34.7213920200000,,15.7,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2503,,,11/19/2025,,,,,plate
2414DF,0,2X4-14' STD&BTR DF,|20 MAIN WALLS,634.83000,744.00000,,ST,MBF,MBF,0.0000000000000,,15.7,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2503,,,11/19/2025,,,,,
2414DF,26,2X4-14' STD&BTR DF,|20 MAIN WALLS-A,634.83000,744.00000,,ST,MBF,MBF,154.0465781400000,,15.7,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2503,,,11/19/2025,,,,,bracing
2420DF,0,2X4-20' STD&BTR DF,|20 MAIN WALLS,634.83000,744.00000,,ST,MBF,MBF,0.0000000000000,,15.7,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2503,,,11/19/2025,,,,,
2420DF,6,2X4-20' STD&BTR DF,|20 MAIN WALLS-A,634.83000,744.00000,,ST,MBF,MBF,50.7737034000000,,15.7,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2503,,,11/19/2025,,,,,bracing
26DF2,0,2X6-RL #2&BTR DF,|20 MAIN WALLS,556.18000,677.00000,,ST,MBF,MBF,0.0000000000000,,12.4,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/10/2025,2503,,,11/19/2025,,,,,
26DF2,424,2X6-RL #2&BTR DF,|20 MAIN WALLS-A,556.18000,677.00000,,ST,MBF,MBF,235.8203200000000,,12.4,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/10/2025,2503,,,11/19/2025,,,,,plate
41212GDF2,0,4X12-12' #2&BTR DF GRN,|20 MAIN WALLS,815.48000,939.00000,,ST,MBF,MBF,0.0000000000000,,21.8,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2201,,,11/19/2025,,,,,
41212GDF2,1,4X12-12' #2&BTR DF GRN,|20 MAIN WALLS-A,815.48000,939.00000,,ST,MBF,MBF,39.1430400000000,,21.8,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2201,,,11/19/2025,,,,,porch beam
51215DF18GL,0,5-1/2X15 GLAM LF,|20 MAIN WALLS,26.09000,32.19000,,ST,LF,LF,0.0000000000000,,15.0,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2006,,,11/19/2025,,,,,
51215DF18GL,21,5-1/2X15 GLAM LF,|20 MAIN WALLS-A,26.09000,32.19000,,ST,LF,LF,547.8900000000000,,15.0,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2006,,,11/19/2025,,,,,garage header
716OSB,0,7/16"4X8 OSB RTD,|20 MAIN WALLS,307.95000,382.00000,,ST,MSF,MSF,0.0000000000000,,18.5,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,3506,,,11/19/2025,,,,,
716OSB,4,7/16"4X8 OSB RTD,|20 MAIN WALLS-A,307.95000,382.00000,,ST,MSF,MSF,39.4176000000000,,18.5,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,3506,,,11/19/2025,,,,,wall sheathing
716OSB10,0,7/16"4X10 OSB RTD,|20 MAIN WALLS,330.68000,402.00000,,ST,MSF,MSF,0.0000000000000,,21.1,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,3506,,,11/19/2025,,,,,
716OSB10,40,7/16"4X10 OSB RTD,|20 MAIN WALLS-A,330.68000,402.00000,,ST,MSF,MSF,529.0880000000000,,21.1,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,3506,,,11/19/2025,,,,,wall sheathing
6612HF2TICGC,0,6X6-12' #2 HF TRTD GC ICT,|20 MAIN WALLS,1681.00000,1982.00000,,ST,MBF,MBF,0.0000000000000,,19.9,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,3004,,,11/19/2025,,,,,
6612HF2TICGC,1,6X6-12' #2 HF TRTD GC ICT,|20 MAIN WALLS-A,1681.00000,1982.00000,,ST,MBF,MBF,60.5160000000000,,19.9,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,3004,,,11/19/2025,,,,,exterior post
A35,0,1-7/16X4-1/2" FRAMING ANCHOR,|20 MAIN WALLS,0.53000,0.79000,,ST,EA,EA,0.0000000000000,,22.6,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/21/2025,4502,,,11/19/2025,,,,,
A35,4,1-7/16X4-1/2" FRAMING ANCHOR,|20 MAIN WALLS-A,0.53000,0.79000,,ST,EA,EA,2.1200000000000,,22.6,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/21/2025,4502,,,11/19/2025,,,,,post connection
ABU66Z,0,ABU66 6X6 ADJ. POST Z-MAX,|20 MAIN WALLS,41.35000,48.89000,,ST,EA,EA,0.0000000000000,,22.0,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,06/02/2025,4502,,,11/19/2025,,,,,
ABU66Z,1,ABU66 6X6 ADJ. POST Z-MAX,|20 MAIN WALLS-A,41.35000,48.89000,,ST,EA,EA,41.3500000000000,,22.0,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,06/02/2025,4502,,,11/19/2025,,,,,post base
CS22-R,0,COILED STRAP 22GA 25',|20 MAIN WALLS,32.42000,40.19000,,ST,EA,EA,0.0000000000000,,22.0,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,06/02/2025,4502,,,11/19/2025,,,,,
CS22-R,1,COILED STRAP 22GA 25',|20 MAIN WALLS-A,32.42000,40.19000,,ST,EA,EA,32.4200000000000,,22.0,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,06/02/2025,4502,,,11/19/2025,,,,,strap tie
HDU5-SDS2.5,0,13-3/16" PREDEFLECTED HOLDOWN,|20 MAIN WALLS,35.12000,43.49000,,ST,EA,EA,0.0000000000000,,22.0,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,06/02/2025,4502,,,11/19/2025,,,,,
HDU5-SDS2.5,2,13-3/16" PREDEFLECTED HOLDOWN,|20 MAIN WALLS-A,35.12000,43.49000,,ST,EA,EA,70.2400000000000,,22.0,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,06/02/2025,4502,,,11/19/2025,,,,,holddown
LCE4Z,0,SIMPSON LCE4 POST CAP Z-MAX,|20 MAIN WALLS,6.64000,9.09000,,ST,EA,EA,0.0000000000000,,22.0,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,06/02/2025,4502,,,11/19/2025,,,,,
LCE4Z,2,SIMPSON LCE4 POST CAP Z-MAX,|20 MAIN WALLS-A,6.64000,9.09000,,ST,EA,EA,13.2800000000000,,22.0,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,06/02/2025,4502,,,11/19/2025,,,,,post cap
