Richmond_Pack_ID,Shipping_Order,Elevation_Letters_Original,Option_Codes,Phase_Str,Pack_Name,Item_No,Item_Type,Old_Code,New_Phase_Code,New_Elevation_Code,New_Item_Type_Code,New_Full_Code
|10.tc TALLCRAWL FRAMING      ,1,,TALLCRWL,10.tc,TALLCRAWL FRAMING      ,1000,Framing,XXXX-10.tc-1000,010.900,**,1000,PPPP-010.900-**-1000
|12.2x OPT 2 CAR GARAGE 2' EXT FOUNDATION ,1,,GAREXT2,12.2x,OPT 2 CAR GARAGE 2' EXT FOUNDATION ,1000,Framing,XXXX-12.2x-1000,012.020,**,1000,PPPP-012.020-**-1000
|12.4x OPT 2 CAR GARAGE 4' EXT FOUNDATION ,1,"A, B, C","2CAR4XA, 2CAR4XB, 2CAR4XC",12.4x,OPT 2 CAR GARAGE 4' EXT FOUNDATION ,1000,Framing,XXXX-12.4x-1000,012.040,ABC,1000,PPPP-012.040-ABC-1000
|12.5x OPT 2 CAR GARAGE 5' EXT FOUNDATION ,1,"A, B","2CAR5XA, 2CAR5XB",12.5x,OPT 2 CAR GARAGE 5' EXT FOUNDATION ,1000,Framing,XXXX-12.5x-1000,012.050,AB,1000,PPPP-012.050-AB-1000
|20.2l OPT CENTER MEET DOOR @ LOFT  ,3,,MSLIDE1,20.2l,OPT CENTER MEET DOOR @ LOFT  ,1000,Framing,XXXX-20.2l-1000,020.210,**,1000,PPPP-020.210-**-1000
|20.3l OPT MULTI      ,3,,"SLIDE DOOR @ LOFT, MSLIDE2",20.3l,OPT MULTI      ,1000,Framing,XXXX-20.3l-1000,020.310,**,1000,PPPP-020.310-**-1000
|20.ak Alternate Kitchen      ,3,,,20.ak,Alternate Kitchen      ,1000,Framing,XXXX-20.ak-1000,020.000,**,1000,PPPP-020.000-**-1000
|20.lo MAIN FLOOR WALLS (LOFT)    ,3,"A, B, C",,20.lo,MAIN FLOOR WALLS (LOFT)    ,1000,Framing,XXXX-20.lo-1000,020.000,ABC,1000,PPPP-020.000-ABC-1000
|20.nl MAIN FLOOR WALLS (NO LOFT)   ,3,"A, B, C",,20.nl,MAIN FLOOR WALLS (NO LOFT)   ,1000,Framing,XXXX-20.nl-1000,020.000,ABC,1000,PPPP-020.000-ABC-1000
|20.ma FRAMING MASONRY      ,3,,,20.ma,FRAMING MASONRY      ,1000,Framing,XXXX-20.ma-1000,020.000,**,1000,PPPP-020.000-**-1000
|20.rf MAIN WALLS READYFRAME     ,3,,,20.rf,MAIN WALLS READYFRAME     ,1000,Framing,XXXX-20.rf-1000,020.000,**,1000,PPPP-020.000-**-1000
|22.4x OPT 2 CAR GARAGE 4' EXT WALLS ,3,,2CAR4XA,22.4x,OPT 2 CAR GARAGE 4' EXT WALLS ,1000,Framing,XXXX-22.4x-1000,022.040,**,1000,PPPP-022.040-**-1000
|22.4x OPT 2 CAR GARAGE 4' EXT WALLS ,3,,2CAR4XB,22.4x,OPT 2 CAR GARAGE 4' EXT WALLS ,1000,Framing,XXXX-22.4x-1000,022.040,**,1000,PPPP-022.040-**-1000
|22.4x OPT 2 CAR GARAGE 4' EXT WALLS ,3,,2CAR4XC,22.4x,OPT 2 CAR GARAGE 4' EXT WALLS ,1000,Framing,XXXX-22.4x-1000,022.040,**,1000,PPPP-022.040-**-1000
|22.2x OPT EXTENDED GARAGE WALLS    ,3,,GAREXT2,22.2x,OPT EXTENDED GARAGE WALLS    ,1000,Framing,XXXX-22.2x-1000,022.020,**,1000,PPPP-022.020-**-1000
|22.2x OPT EXTENDED GARAGE WALLS    ,3,,"OPTI PLATE, GAREXT2",22.2x,OPT EXTENDED GARAGE WALLS    ,1000,Framing,XXXX-22.2x-1000,022.020,**,1000,PPPP-022.020-**-1000
|22.4x OPT 2 CAR GARAGE 4' EXT WALLS ,3,"A, B, C","2CAR4XA, 2CAR4XB, 2CAR4XC",22.4x,OPT 2 CAR GARAGE 4' EXT WALLS ,1000,Framing,XXXX-22.4x-1000,022.040,ABC,1000,PPPP-022.040-ABC-1000
|22.5x OPT 2 CAR GARAGE 5' EXT WALLS ,3,"A, B","2CAR5XA, 2CAR5XB",22.5x,OPT 2 CAR GARAGE 5' EXT WALLS ,1000,Framing,XXXX-22.5x-1000,022.050,AB,1000,PPPP-022.050-AB-1000
|22.5x OPT 2 CAR GARAGE 5' EXT WALLS ,3,C,2CAR5XC,22.5x,OPT 2 CAR GARAGE 5' EXT WALLS ,1000,Framing,XXXX-22.5x-1000,022.050,C,1000,PPPP-022.050-C-1000
|23.sr COVERED PATIO @ SUNROOM    ,3,,"SUN, SUNWO, COVPSN1, COVD1SN",23.sr,COVERED PATIO @ SUNROOM    ,1000,Framing,XXXX-23.sr-1000,023.910,**,1000,PPPP-023.910-**-1000
|23.xc EXTENDED COVERED PATIO     ,3,,COVPX,23.xc,EXTENDED COVERED PATIO     ,1000,Framing,XXXX-23.xc-1000,023.920,**,1000,PPPP-023.920-**-1000
|24.ed EXT DECK FRAMING     ,3,,"COVD2, WO",24.ed,EXT DECK FRAMING     ,1000,Framing,XXXX-24.ed-1000,024.900,**,1000,PPPP-024.900-**-1000
