Sku,Description,Elevation,Option,Pack,Quantity,Price
LUS28,LUS28 JOIST HANGER 2X8,A,,|30 2ND FLOOR SYSTEM,8,1.37
LS50,LS50 5" ADJ L ANGLE SIMPSON,A,,|30 2ND FLOOR SYSTEM,10,2.22
78TGOSBWGOFF,7/8"4X8 T&G OSB EDGGLD SIF FF,A,,|32 2ND FLOOR SUBFLOOR,34,773.26
SFG,BFS SUB FLR GLUE 28OZ,A,,|32 2ND FLOOR SUBFLOOR,9,4.08
249258DF,2X4-92-5/8" STUD DF PET,A,,|34 2ND FLOOR WALLS,143,431.82
269258DF,2X6-92-5/8" STUD DF PET,A,,|34 2ND FLOOR WALLS,136,397.73
1412FIR,1X4-12' STD&BTR FIR KD,A,,|34 2ND FLOOR WALLS,17,935.29
1612FIR,1X6-12' STD&BTR FIR KD,A,,|34 2ND FLOOR WALLS,3,1017.80
24DF,2X4-RL STD&BTR DF,A,,|34 2ND FLOOR WALLS,20,634.83
2414DF,2X4-14' STD&BTR DF,A,,|34 2ND FLOOR WALLS,26,634.83
26DF2,2X6-RL #2&BTR DF,A,,|34 2ND FLOOR WALLS,182,556.18
716OSB9,7/16"4X9 OSB RTD,A,,|34 2ND FLOOR WALLS,32,319.32
MSTC40,SIMPSON MSTC40 STRAP TIE,A,,|34 2ND FLOOR WALLS,2,11.21
OSBSTRIPS,7/16" X 3 1/2" X 8' OSB STRIPS,A,,|34rf 2ND FLOOR WALLS READYFRAME,4,1.39
7165128OSB,7/16"5-1/2"X8 OSB NON-RTD,A,,|34rf 2ND FLOOR WALLS READYFRAME,8,411.00
24DF,2X4-RL STD&BTR DF,A,,|34rf 2ND FLOOR WALLS READYFRAME,486,634.83
26DF2,2X6-RL #2&BTR DF,A,,|34rf 2ND FLOOR WALLS READYFRAME,554,556.18
4812GDF2,4X8-12' #2 DF GRN,A,,|34rf 2ND FLOOR WALLS READYFRAME,2,815.48
1420WWP,1X4-20' WW PRIMED,A,,|40 ROOF,8,2448.24
2820WWP,2"X8"-20' WW PRIMED,A,,|40 ROOF,8,1487.21
24DF,2X4-RL STD&BTR DF,A,,|40 ROOF,540,634.83
26DF2,2X6-RL #2&BTR DF,A,,|40 ROOF,320,556.18
2814DF2,2X8-14' #2&BTR DF,A,,|40 ROOF,3,640.45
716OSB,7/16"4X8 OSB RTD,A,,|40 ROOF,60,307.95
SS7648CS,4X8 TX SOFFIT SMART STRAND 76,A,,|40 ROOF,9,1758.82
A35,1-7/16X4-1/2" FRAMING ANCHOR,A,,|40 ROOF,20,0.53
LS50,LS50 5" ADJ L ANGLE SIMPSON,A,,|40 ROOF,60,2.22
PSCL1/2EA,1/2" STEEL PLYWOOD CLIP (EA),A,,|40 ROOF,220,0.08
LGT2,LIGHT WEIGHT GIRDER TIE DOWN,A,,|40 ROOF,2,10.33
2810DF2,2X8-10' #2&BTR DF,A,,|40 ROOF,2,640.45
2816DF2,2X8-16' #2&BTR DF,A,,|40 ROOF,8,640.45
ARS28RA,ARS28 "SUPER ANCHOR" ROOF,A,,|40 ROOF,2,65.49
SDPW19600-R50,DEFLECTOR SCREWS 6" RETAIL PACK; 50 CT,A,,|40 ROOF,1,111.04
9125DWRA,9'X125' TYVEK DRAINWRP RICHMND,A,,|58 HOUSEWRAP,4,160.28
TTAPE3-164RA,3"X164' TYVEK WHT TP RICHMOND,A,,|58 HOUSEWRAP,8,15.12
475DFTRA,4"X75' DUPONT FLASH TP RICHMND,A,,|58 HOUSEWRAP,1,26.70
CH38SP,3/8" STINGER STAPLE PAC 2016CT,A,,|58 HOUSEWRAP,3,56.64
2220WWP,2"X2"-20' WW PRIMED,A,,|60 EXTERIOR TRIM AND SIDING,7,1683.72
HZ10PSTE,HARDIE HZ10 SHGL STAGGEREDEDGE,A,,|60 EXTERIOR TRIM AND SIDING,41,7.98
HZU54812RT,TRM 5/4 PR RG HZ 7.25X12',A,,|60 EXTERIOR TRIM AND SIDING,2,5130.59
EM390073,4X1-1/8X3/8 WHT HIGH BACK FLSH,A,,|60 EXTERIOR TRIM AND SIDING,10,8.47
2612DF2,2X6-12' #2&BTR DF,A,,|60 EXTERIOR TRIM AND SIDING,1,556.18
4612GDF2,4X6-12' #2&BTR DF GRN,A,,|60 EXTERIOR TRIM AND SIDING,1,630.95
HZ1049SMP,PAN PR SMOOTH 4X9,A,,|60 EXTERIOR TRIM AND SIDING,6,1471.76
HZ10814CMSP,PLK PR CM SEL HZ10 8.25X12,A,,|60 EXTERIOR TRIM AND SIDING,390,1349.41
HZU1312RB,TRM 4/4 BATT PR RG HZ 2.5X12',A,,|60 EXTERIOR TRIM AND SIDING,14,4714.12
HZU1412RT,TRM 4/4 PR RG HZ 3.5X12'AIN,A,,|60 EXTERIOR TRIM AND SIDING,2,4714.12
HZU54412RT,TRM 5/4 PR RG HZ 3.5X12',A,,|60 EXTERIOR TRIM AND SIDING,26,5130.59
HZU54612RT,TRM 5/4 PR RG HZ 5.5X12',A,,|60 EXTERIOR TRIM AND SIDING,6,5130.59
HZU541012RT,TRM 5/4 PR RG HZ 9.25X12',A,,|60 EXTERIOR TRIM AND SIDING,4,5130.59
EM390074,4X1-3/8X3/8 WHT HIGH BACK FLSH,A,,|60 EXTERIOR TRIM AND SIDING,4,8.65
4238HMDB,120DEG DRIP 3/8 HEM BROWN 26GA,A,,|60 EXTERIOR TRIM AND SIDING,1,20.09
4128JNTFLSHEA,4-1/2"X8" POLY JNT FLASH EA PC,A,,|60 EXTERIOR TRIM AND SIDING,281,0.37
TX1WHT10,TX1 TEXT POLY SEALANT WHT 10OZ,A,,|60 EXTERIOR TRIM AND SIDING,78,5.66
2820WWP,2"X8"-20' WW PRIMED,A,,|60 EXTERIOR TRIM AND SIDING,2,1487.21
HZ1048CMP,PAN PR CEDRML 4X8,A,,|60 EXTERIOR TRIM AND SIDING,5,1362.35
HZ1012CMSP,PLK PR CM SEL HZ10 12X12',A,,|60 EXTERIOR TRIM AND SIDING,4,1349.41
EM390075,4X1-5/8X3/8 WHT HIGH BACK FLSH,A,,|60 EXTERIOR TRIM AND SIDING,1,8.94
PPG725MLBR,7.25"X9.5" LIGHT BLOCK RUSTIC,A,,|60 EXTERIOR TRIM AND SIDING,3,11.76
PPGPR100BB,5.5"X7.5"R&R SPLT MOUNT BIB RS,A,,|60 EXTERIOR TRIM AND SIDING,2,11.76
PPGPR103VB,7.25"X9.25" R&R VENT BLOCK RUS,A,,|60 EXTERIOR TRIM AND SIDING,1,11.61
QFP50,P-50 QUICKFLASH PANEL,A,,|60 EXTERIOR TRIM AND SIDING,2,6.40
QFPE30BA,E-3/0B-A 1-3/8 FLASHING PANEL,A,,|60 EXTERIOR TRIM AND SIDING,3,6.14
RUS334017,PAINTERS TOUCH PRIMER 2X GRAY,A,,|60 EXTERIOR TRIM AND SIDING,2,6.99
GRC7R92HG1,2-3/16"X.092 WIRE HDG RNG 1.2M,A,,|60 EXTERIOR TRIM AND SIDING,4,32.62
GRF162M,2" 16GA FINISH NAIL GALV 1M,A,,|60 EXTERIOR TRIM AND SIDING,2,8.77
HZU54612RT,TRM 5/4 PR RG HZ 5.5X12',A,,|60pw1 EXTERIOR POST WRAP,2,5130.59
HZU54812RT,TRM 5/4 PR RG HZ 7.25X12',A,,|60pw1 EXTERIOR POST WRAP,2,5130.59
